2019-09-29 20:37:33,175 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\saral\OneDrive\Documentos\GitHub\train\TrainsJavaSL\src\test\resources
2019-09-29 20:42:33,322 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-29 20:42:33,322 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\saral\OneDrive\Documentos\GitHub\train\TrainsJavaSL\src\main\resources
2019-09-29 20:42:33,322 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-29 20:42:33,322 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\saral\OneDrive\Documentos\GitHub\train\TrainsJavaSL\src\test\resources
2019-09-29 20:43:11,633 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-29 20:43:11,633 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\saral\OneDrive\Documentos\GitHub\train\TrainsJavaSL\src\main\resources
2019-09-29 20:43:11,633 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-29 20:43:11,633 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\saral\OneDrive\Documentos\GitHub\train\TrainsJavaSL\src\test\resources
2019-09-29 20:43:25,584 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-29 20:43:25,584 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\saral\OneDrive\Documentos\GitHub\train\TrainsJavaSL\src\main\resources
2019-09-29 20:43:25,584 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-29 20:43:25,584 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\saral\OneDrive\Documentos\GitHub\train\TrainsJavaSL\src\test\resources
